Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,,,,
2010010567154,4-Jan-10,1/3/10 14:30,SLC,Salt Lake City International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Cosmetics & Grooming,$0.00 ,Deny
2010010567158,4-Jan-10,1/2/10 0:00,LAX,Los Angeles International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2010010567173,4-Jan-10,1/2/10 5:00,SEA,Seattle-Tacoma International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cameras; Cameras,$0.00 ,Deny
2010010567177,4-Jan-10,1/1/10 0:00,DEN,Denver International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2010010567182,4-Jan-10,1/2/10 0:00,LAS,McCarran International,American Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010010567184,4-Jan-10,1/3/10 0:00,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010010667239,4-Jan-10,1/2/10 15:00,ASE,Aspen Pitkin County Sardy Field,Frontier Airlines,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2010011167421,4-Jan-10,1/1/10 0:00,SEA,Seattle-Tacoma International,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Computer & Accessories,"$1,579.40 ",Settle
2010010567163,5-Jan-10,1/5/10 0:00,XNA,Northwest Arkansas Regional,American Airlines  ,Passenger Property Loss,Checked Baggage,Cameras; Cameras,$193.98 ,Approve in Full
2010010767268,5-Jan-10,1/2/10 0:00,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Travel Accessories,-,-
2010010767293,5-Jan-10,1/1/10 19:05,BDL,Bradley International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010010767294,5-Jan-10,1/2/10 23:40,DAL,Dallas Love Field,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$72.00 ,Settle
2010010767296,5-Jan-10,1/3/10 9:16,ORF,Norfolk International,Southwest Airlines  ,Property Damage,Checkpoint,Personal Accessories,$0.00 ,Deny
2010010767271,6-Jan-10,1/1/10 0:00,CLE,Cleveland Hopkins International,-,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,-
2010010867305,6-Jan-10,1/1/10 9:00,JFK,John F. Kennedy International,Aero Mexico,Passenger Property Loss,Checked Baggage,Clothing,$0.00 ,Deny
2010010867306,6-Jan-10,1/3/10 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Food & Drink; Home Decor; Jewelry & Watches,-,-
2010010867322,6-Jan-10,1/8/10 10:30,BNA,Nashville International,American Airlines  ,Passenger Property Loss,Checkpoint,Office Equipment & Supplies,$69.00 ,Approve in Full
2010010867325,6-Jan-10,1/3/10 0:00,EWR,Newark International Airport,Continental Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Travel Accessories,$0.00 ,Deny
2010010867334,6-Jan-10,1/4/10 12:40,BIL,"Billings, MT",UAL  ,Passenger Property Loss,Checkpoint,Currency,-,-
2010010867343,6-Jan-10,1/3/10 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other,$0.00 ,Deny
2010010867344,6-Jan-10,1/1/10 0:00,MCO,Orlando International Airport,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010010867350,6-Jan-10,1/3/10 8:00,BOS,Boston (Logan) International Airport ,American Airlines  ,Property Damage,Checkpoint,-,$0.00 ,Deny
2010010867354,6-Jan-10,1/3/10 0:00,CVG,Cincinnati/Northern Kentucky International,USAir  ,Property Damage,Checkpoint,Other,$20.00 ,Approve in Full
2011011379555,6-Jan-10,12/19/10 13:31,MYR,Myrtle Beach International,-,Passenger Property Loss,Checkpoint,Other,$0.00 ,Deny
2011011479560,6-Jan-10,12/20/10 8:56,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2011011479564,6-Jan-10,12/22/10 17:00,IAD,Washington Dulles International,Jet Blue,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,$0.00 ,Deny
2010010867324,7-Jan-10,1/6/10 5:00,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,$0.00 ,Deny
2010010867364,7-Jan-10,1/5/10 16:30,BOS,Boston (Logan) International Airport ,AirTran Airlines,Passenger Property Loss,Checked Baggage,-,$0.00 ,Deny
2010011167405,7-Jan-10,1/4/10 17:30,SEA,Seattle-Tacoma International,British Airways  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,$0.00 ,Deny
